fecha,Carbon,CicloCombinado,Cogeneracion,FuelGas,MotorDiesel,TurbinaGas,TurbinaVapor,ResiduosNoRenov,EmisionesTotal,EmisionesPorMWh
2011-01-01,60383.61,56093.042,0,0,7868.698,608.304,5638.806,834.389,154243.218,0.24706029925726902
2011-01-02,60109.235,42428.998,0,0,8004.911,793.377,6507.919,850.047,144533.993,0.21254213033548927
2011-01-03,94407.316,84837.898,0,0,8365.888,2132.724,7610.614,864.455,232311.894,0.27687088711805313
2011-01-04,109372.271,78843.807,0,0,8357.493,2356.721,7436.203,818.393,242568.461,0.280972650249633
2011-01-05,68354.036,44705.522,0,0,8398.663,1674.49,7328.523,835.749,165656.989,0.19879374381429082
2011-01-06,33920.418,20447.856,0,0,7793.349,668.43,5650.033,847.012,100756.82100000001,0.13973854520445053
2011-01-07,18197.086,29376.424,0,0,8162.878,1803.154,7433.16,912.584,99918.946,0.12881565881514395
2011-01-08,17653.468,26023.442,0,0,8033.579,1116.216,6568.93,928.751,88049.175,0.11821909938275357
2011-01-09,32536.302,36668.548,0,0,7702.689,665.839,5830.197,907.685,112410.589,0.16500016855880328
2011-01-10,62420.478,62660.163,0,0,8222.849,1632.979,7174.168,838.268,177460.93700000003,0.20397240799141012
2011-01-11,66048.848,49488.847,0,0,8141.588,1871.491,7073.867,881.737,167698.923,0.18712208418821913
2011-01-12,82107.798,59876.114,0,0,8030.004,3170.26,6517.562,890.003,194785.804,0.22119435535502285
2011-01-13,87583.903,77420.423,0,0,8090.643,2594.281,7454.659,890.833,218376.003,0.25317126698145354
2011-01-14,91775.135,78494.348,0,0,8238.628,2393.798,7120.83,928.465,224192.896,0.26417672800061925
2011-01-15,71845.18,57729.298,0,0,8082.023,1604.816,6528.159,936.877,175505.277,0.2384637618719809
2011-01-16,66663.241,36960.217,0,0,7761.588,613.921,6128.692,948.338,147506.87099999998,0.21515228241047443
2011-01-17,100331.96500000003,87719.159,0,0,8064.354,1707.655,7718.073,953.726,240371.01100000003,0.28372598884046185
2011-01-18,108825.396,101815.852,0,0,8135.8,2199.771,7377.672,873.689,263364.43799999997,0.2966552597492481
2011-01-19,110272.796,98264.346,0,2.933,8164.747,2356.496,7602.473,833.552,261685.10900000003,0.2942573935733432
2011-01-20,90465.068,76047.09,0,0,8262.096,2095.408,7848.833,895.795,220220.239,0.25290519386981164
2011-01-21,45708.515,48668.064,0,0,8323.075,2609.174,7410.409,885.762,148783.273,0.1686383079008111
2011-01-22,21070.525,36328.266,0,0,8373.899,1217.103,6971.929,878.003,104030.46600000001,0.12753176715601647
2011-01-23,26319.029,41453.202,0,0,8106.606,1011.585,6098.657,897.613,113188.34599999999,0.14658815461845107
2011-01-24,62241.31800000001,73108.325,0,17.192,8577.364,2001.039,6962.705,877.755,188873.19800000003,0.2043274481461591
2011-01-25,84809.81000000001,94576.369,0,17.441,8193.013,2210.866,5113.004,862.12,230833.79100000003,0.24481284121203767
2011-01-26,98730.64,114441.663,0,14.874,8277.057,2649.905,7054.322,839.989,267160.092,0.2828296523180389
2011-01-27,99451.131,116259.438,0,16.096,8404.135,2178.825,7069.969,907.827,269032.842,0.2853978159005222
2011-01-28,96339.045,107222.553,0,9.839,8620.073,1539.035,7123.884,912.252,257069.946,0.2747857386960518
2011-01-29,65430.139,87218.284,0,0,8342.479,2714.393,7598.789,859.429,201785.00800000003,0.2535769016463236
2011-01-30,67508.587,65735.173,0,0,7877.162,756.099,5983.256,873.86,178139.264,0.24172591857395545
2011-01-31,90963.411,92136.258,0,5.884,8174.888,2276.473,6909.188,887.014,236820.114,0.26427598587039447
2011-02-01,100194.831,89474.527,0,2.118,8122.702,1764.318,6558.836,874.49,242354.18099999998,0.2626335685663027
2011-02-02,96786.384,85146.945,0,0.088,8075.99,1178.851,6234.275,839.919,233699.27899999998,0.2530905675488257
2011-02-03,100796.515,93248.676,0,0,7619.194,1983.322,7120.211,905.163,247230.97,0.2761778723606728
2011-02-04,105740.006,96974.098,0,0,7960.526,2107.205,7521.984,898.597,257364.08299999998,0.29321926220108363
2011-02-05,103955.22,80734.407,0,0,8148.648,1204.477,7068.9,856.254,232173.044,0.3013004170670094
2011-02-06,83776.935,76190.911,0,0,7843.533,532.46,5840.094,877.775,204725.731,0.2885374027363585
2011-02-07,110987.148,93329.389,0,0,8298.354,1726.895,7119.138,895.902,257793.869,0.309358041716544
2011-02-08,120273.776,96426.203,0,0,8188.057,1887.89,7279.033,888.226,269555.13,0.3187766190041481
2011-02-09,115623.662,92731.559,0,3.392,8307.755,2273.659,7400.951,899.917,262316.61100000003,0.3078488581388962
2011-02-10,112695.90800000002,91029.838,0,3.48,8134.464,2432.641,7617.866,878.81,257614.41600000003,0.3010454174203858
2011-02-11,112592.096,89341.819,0,0,7868.647,2487.889,7698.431,915.722,256379.648,0.3019384889801922
2011-02-12,103855.043,76589.344,0,0,7884.941,2036.907,7466.796,898.393,227989.86000000002,0.300486160784327
2011-02-13,73876.508,40166.154,0,0,7732.516,1776.347,6915.628,874.826,160109.32,0.2239798890134158
2011-02-14,100399.48599999998,52560.228,0,2.949,8182.153,2939.988,8005.82,824.519,207473.778,0.24026056866377088
2011-02-15,121109.81799999998,69804.69,0,1.199,7756.916,3168.982,8176.997,871.911,246447.83899999998,0.27963082316907223
2011-02-16,101187.74699999997,51055.246,0,0,7510.286,4227.175,7658.733,663.385,207433.83399999997,0.2346411119727593
2011-02-17,85335.24199999998,55643.169,0,6.688,7847.793,3686.818,7291.031,856.864,196344.327,0.2226000606999778
2011-02-18,83434.51699999999,65656.676,0,0,8133.649,3492.286,7582.012,899.525,205200.119,0.23996522522333036
2011-02-19,69969.032,71594.073,0,0,7922.761,3037.327,6986.508,912.064,190348.771,0.25943087615457605
2011-02-20,53198.709,35971.187,0,0,7696.527,1519.27,5715.616,876.71,134560.118,0.19292694039240077
2011-02-21,51202.948,42376.356,0,0,7825.758,2132.726,6849.867,897.798,146371.707,0.17241146626040244
2011-02-22,48675.818,47101.44,0,0,7806.055,2155.899,7268.63,900.143,148674.41600000003,0.17456430872831669
2011-02-23,80250.53,68666.206,0,0,7722.939,2168.391,7674.717,857.41,200413.683,0.24518069864667072
2011-02-24,98633.896,74640.402,0,0,8184.882,2066.597,7566.901,901.531,226729.95799999998,0.279792504665303
2011-02-25,95957.81699999998,68560.327,0,0,7823.331,1608.416,7247.772,879.585,218043.658,0.27655583907366477
2011-02-26,74088.20599999999,35265.203,0,0,7744.346,1431.777,6680.883,896.584,155841.92500000002,0.2186368956217079
2011-02-27,61938.396,19181.611,0,0,7460.804,1213.528,5847.295,879.577,125983.03500000002,0.180802715613755
2011-02-28,80057.266,32834.284,0,0,7823.734,2621.964,7488.649,880.114,167072.12300000002,0.20064479044791422
2011-03-01,102565.794,44338.286,0,0,7861.658,2145.604,7511.142,684.207,201100.766,0.23120306947658884
2011-03-02,100934.41600000003,58261.812,0,0,7845.578,2232.597,7765.579,736.214,213483.93700000003,0.23890827436263248
2011-03-03,114409.78300000002,72671.587,0,0,7797.255,3682.391,8024.45,736.815,242986.78900000005,0.2742733419278717
2011-03-04,121294.027,77298.654,0,0,8127.057,4135.929,7882.539,796.047,255762.47199999998,0.2873302507852743
2011-03-05,63666.762,71719.411,0,0,8050.316,2391.638,7725.592,731.666,184114.839,0.2444465097322198
2011-03-06,70875.82699999999,57724.949,0,0,7782.965,2026.694,7302.163,778.051,176011.96,0.2606648508427052
2011-03-07,81991.181,62067.298,0,0,8356.817,2603.835,7944.894,822.555,198771.99,0.24981319245221872
2011-03-08,74265.12999999999,56496.907,0,0,8346.284,1997.696,7823.048,867.656,184188.66399999996,0.21473981994039834
2011-03-09,92214.425,71723.021,0,0,8587.768,3262.57,8202.423,801.741,219980.02,0.26187972446774554
2011-03-10,103426.174,78900.866,0,0,8388.267,1454.013,7872.372,840.458,236638.58099999998,0.2857716524126714
2011-03-11,100253.297,70689.796,0,0,8488.85,2669.886,7973.709,834.982,226880.558,0.26899182607129946
2011-03-12,93444.471,55536.343,0,0,8203.791,2504.996,8069.48,818.178,197979.00100000002,0.2661470139937588
2011-03-13,95833.77200000003,44739.447,0,0,7881.358,1887.01,7358.436,802.09,187983.29400000005,0.27659773322462494
2011-03-14,108652.998,53105.528,0,0,8087.018,4706.524,7876.14,787.337,218247.76,0.2634255646656447
2011-03-15,118537.771,49237.768,0,0,7948.436,3802.604,8466.105,677.855,223326.507,0.2696851557757909
2011-03-16,90320.95799999998,39836.191,0,0,8315.456,3399.702,8120.602,593.045,186162.064,0.2096140968556258
2011-03-17,107831.004,40916.964,0,0,8130.268,3266.078,7791.478,574.076,204518.27499999997,0.23864794084612115
2011-03-18,114298.873,49789.168,0,0,8137.045,1827.065,7687.204,586.621,218976.37000000002,0.27106338300139493
