fecha,Carbon_NR,CicloCombinado_NR,Cogeneracion_NR,Eolica_R,FuelGas_NR,Hidroeolica_R,Hidraulica_R,MotorDiesel_NR,Nuclear_NR,OtrasRenovables_R,SolarFotovoltaica_R,SolarTermica_R,TurbinaGas_NR,TurbinaVapor_NR,TurbinaBombeo_NR,ResiduosNoRenov_NR,ResiduosRenov_R,GeneracionTotal,Año,Mes,Dia,DiaSemana,SumaGeneracion_NoRenovables,SumaGeneracion_Renovables,SumaGeneracionTotal,Porcentaje_NoRenovable,Porcentaje_Renovable,valordemanda,carbon,ciclocombinado,cogeneracion,fuelgas,motordiesel,turbinagas,turbinavapor,residuosnorenov,emisionestotal,emisionespormwh,precipitacionesmedia,horassolmedia,temperaturamedia,temperaturamaxmedia,temperaturaminmedia,rachamedia,vientovelmedia,humedadrelmedia,humedadrelmaxmedia,humedadrelminmedia,presionmaxmedia,presionminmedia
2011-01-01,63539.183,142852.659,60034.044,30530.962,0.0,0.0,132922.642,9421.646,156043.256,9422.6,6383.971,689.682,635.928,6335.737,0.0,3476.619,2075.125,624314.058,2011,1,1,6,442339.07200000004,182024.982,624364.054,70.85,29.15,605986.216,60383.61,56093.042,0,0.0,7868.698,608.304,5638.806,834.389,154243.218,0.247060299257269,0.5432801822323462,2.2035714285714287,9.304666666666668,12.577161862527717,6.0440000000000005,5.622408963585435,1.5112328767123289,86.44063926940639,96.56459330143541,73.04066985645933,964.0009174311928,961.3660550458715
2011-01-02,63250.905,105985.984,67987.652,120932.782,0.0,0.0,122475.16,9583.46,155946.404,9735.174,9681.929,906.356,760.919,7312.269,0.0,3541.8645,1974.4885,680025.1450000001,2011,1,2,7,414369.4575,265705.8895,680075.3470000001,60.93,39.07,641856.087,60109.235,42428.998,0,0.0,8004.911,793.377,6507.919,850.047,144533.993,0.2125421303354892,0.3672645739910314,3.4535714285714287,8.518444444444444,12.329333333333333,4.714222222222222,7.271030640668524,2.0383783783783787,81.71004566210046,95.11483253588517,65.94976076555024,962.2917431192661,959.9073394495413
2011-01-03,99351.269,220507.008,89705.195,77934.616,0.0,0.0,146861.638,10031.223,155911.784,9724.737,12336.11,635.974,1936.269,8551.252,0.0,3601.8935,1996.4985,839062.1939999999,2011,1,3,1,589595.8935,249489.5735,839085.467,70.27,29.73,801297.365,94407.316,84837.898,0,0.0,8365.888,2132.724,7610.614,864.455,232311.894,0.2768708871180531,1.0675555555555556,4.641935483870968,6.320088300220751,10.378145695364239,2.261147902869757,6.059888579387187,1.5211382113821137,81.7687074829932,94.56635071090048,64.88625592417061,964.9705357142857,962.250892857143
2011-01-04,115105.686,203996.354,93111.247,104022.723,0.0,0.0,145876.053,10024.313,156264.172,9832.04,8502.068,965.016,2079.062,8355.284,0.0,3409.972,1783.813,863316.9839999998,2011,1,4,2,592346.09,270981.71300000005,863327.8030000001,68.61,31.39,833253.263,109372.271,78843.807,0,0.0,8357.493,2356.721,7436.203,818.393,242568.461,0.280972650249633,3.827293064876957,3.025,7.561640798226165,11.544124168514411,3.5829268292682928,6.60672268907563,1.7589812332439678,84.78,95.12826603325416,70.97862232779097,963.186607142857,958.5830357142858
2011-01-05,71928.723,111598.224,90420.805,200221.686,0.0,0.0,158946.134,10067.259,156313.258,10526.449,7503.855,888.609,1454.871,8234.295,0.0,3482.283,1746.282,833310.877,2011,1,5,3,453499.71799999994,379833.01499999996,833332.7329999999,54.42,45.58,803475.573,68354.036,44705.522,0,0.0,8398.663,1674.49,7328.523,835.749,165656.989,0.1987937438142908,4.850225225225225,2.4825396825396826,10.03370288248337,13.366740576496673,6.693805309734513,9.755013550135502,2.8672922252010724,83.42567567567568,94.47380952380952,71.86190476190477,960.3027027027027,956.000900900901
2011-01-06,35683.285,46310.01,82709.58,245505.116,0.0,0.0,113777.357,9333.282,156229.065,10088.734,7973.16,975.861,699.833,6348.352,0.0,3529.218,1903.012,721038.1420000001,2011,1,6,4,340842.625,380223.23999999993,721065.865,47.27,52.73,659165.544,33920.418,20447.856,0,0.0,7793.349,668.43,5650.033,847.012,100756.821,0.1397385452044505,7.577551020408163,2.8131147540983608,12.588691796008868,15.738274336283185,9.444345898004434,11.767027027027028,3.7179144385026737,80.53707865168539,92.27553444180522,66.812351543943,957.9758928571429,955.6508928571428
2011-01-07,17857.011,70449.884,89561.998,246623.026,0.0,0.0,152748.931,9780.654,156177.38,10213.047,6040.79,461.934,1524.594,8351.865,0.0,3802.4325,2115.4855,775673.912,2011,1,7,5,357505.8185,418203.21350000007,775709.0320000001,46.09,53.91,745349.064,18197.086,29376.424,0,0.0,8162.878,1803.154,7433.16,912.584,99918.946,0.1288156588151439,4.243792325056433,2.890322580645161,11.918322295805739,14.756167400881058,9.088741721854305,12.436043360433603,3.683244680851064,76.02237136465324,90.73113207547169,60.14622641509434,961.0078947368421,956.2561403508772
2011-01-08,17472.956,61482.133,72959.723,223431.282,0.0,0.0,168621.592,9620.914,156046.388,9987.633,10013.567,770.881,1052.18,7380.82,0.0,3869.799,2137.051,744796.53,2011,1,8,6,329884.913,414962.00599999994,744846.919,44.29,55.71,714197.404,17653.468,26023.442,0,0.0,8033.579,1116.216,6568.93,928.751,88049.175,0.1182190993827535,5.310290827740491,3.863793103448276,11.40308370044053,14.994052863436124,7.814096916299559,12.861246612466125,3.6488,75.16331096196868,91.03066037735849,59.0872641509434,962.1447368421053,957.6614035087719
2011-01-09,34226.907,90546.928,73945.379,80447.512,0.0,0.0,204595.949,9224.088,155990.366,10269.674,8183.869,796.955,685.401,6550.783,0.0,3782.0205,2080.5215,681275.6009999999,2011,1,9,7,374951.87249999994,306374.4805,681326.3529999999,55.03,44.97,676565.531,32536.302,36668.548,0,0.0,7702.689,665.839,5830.197,907.685,112410.589,0.1650001685588032,1.809255079006772,3.3,8.960753880266076,12.397782705099777,5.518181818181818,8.900552486187845,2.157712765957447,83.36241610738254,94.8812351543943,66.6627078384798,966.0429824561403,960.9842105263158
2011-01-10,65683.642,160652.802,90820.873,150019.513,0.0,0.0,197918.309,9852.483,156129.262,10316.311,12363.129,1442.41,1414.186,8060.863,0.0,3492.7865,1882.8945,870024.2290000002,2011,1,10,1,496106.8975,373942.5665,870049.464,57.02,42.98,825093.665,62420.478,62660.163,0,0.0,8222.849,1632.979,7174.168,838.268,177460.93700000003,0.2039724079914101,1.6782805429864252,4.64375,7.647098214285714,11.81607142857143,3.474776785714286,9.002754820936639,2.4485333333333337,80.55855855855856,94.46634615384616,63.93990384615385,966.4,962.6557522123894
