fechaGeneracion,Carbon,CicloCombinado,Cogeneracion,Eolica,FuelGas,Hidroeolica,Hidraulica,MotorDiesel,Nuclear,OtrasRenovables,SolarFotovoltaica,SolarTermica,TurbinaGas,TurbinaVapor,TurbinaBombeo,ResiduosNoRenov,ResiduosRenov,UnidadMedida,GeneracionTotal
2011-01-01,63539.183,142852.659,60034.044,30530.962,-49.996,0,132922.642,9421.646,156043.256,9422.6,6383.971,689.682,635.928,6335.737,0,3476.619,2075.125,MWh,624314.058
2011-01-02,63250.905,105985.984,67987.652,120932.782,-50.202,0,122475.16,9583.46,155946.404,9735.174,9681.929,906.356,760.919,7312.269,0,3541.8645,1974.4885,MWh,680025.1450000001
2011-01-03,99351.269,220507.008,89705.195,77934.616,-23.273,0,146861.638,10031.223,155911.784,9724.737,12336.11,635.974,1936.269,8551.252,0,3601.8935,1996.4985,MWh,839062.1939999999
2011-01-04,115105.686,203996.354,93111.247,104022.723,-10.819,0,145876.053,10024.313,156264.172,9832.04,8502.068,965.016,2079.062,8355.284,0,3409.972,1783.813,MWh,863316.9839999998
2011-01-05,71928.723,111598.224,90420.805,200221.686,-21.856,0,158946.134,10067.259,156313.258,10526.449,7503.855,888.609,1454.871,8234.295,0,3482.283,1746.282,MWh,833310.877
2011-01-06,35683.285,46310.01,82709.58,245505.116,-27.723,0,113777.357,9333.282,156229.065,10088.734,7973.16,975.861,699.833,6348.352,0,3529.218,1903.012,MWh,721038.1420000001
2011-01-07,17857.011,70449.884,89561.998,246623.026,-35.12,0,152748.931,9780.654,156177.38,10213.047,6040.79,461.934,1524.594,8351.865,0,3802.4325,2115.4855,MWh,775673.912
2011-01-08,17472.956,61482.133,72959.723,223431.282,-50.389,0,168621.592,9620.914,156046.388,9987.633,10013.567,770.881,1052.18,7380.82,0,3869.799,2137.051,MWh,744796.53
2011-01-09,34226.907,90546.928,73945.379,80447.512,-50.752,0,204595.949,9224.088,155990.366,10269.674,8183.869,796.955,685.401,6550.783,0,3782.0205,2080.5215,MWh,681275.6009999999
2011-01-10,65683.642,160652.802,90820.873,150019.513,-25.235,0,197918.309,9852.483,156129.262,10316.311,12363.129,1442.41,1414.186,8060.863,0,3492.7865,1882.8945,MWh,870024.2290000002
2011-01-11,69502.794,124937.735,89980.328,223293.296,-26.415,0,185025.871,9758.37,156061.534,10223.863,10850.116,1363.157,1589.09,7948.165,0,3673.9,2018.79,MWh,896200.5940000002
2011-01-12,86406.191,152604.364,89984.374,142467.613,-34.086,0,202143.83,9630.341,156094.579,10431.924,13008.145,1990.08,2811.718,7323.103,0,3708.3455,2038.7675,MWh,880609.289
2011-01-13,92169.485,200500.187,90364.825,68664.456,-38.446,0,201526.893,9701.372,156084.16,10207.895,14824.775,2119.993,2285.421,8376.021,0,3711.801,2063.512,MWh,862562.35
2011-01-14,96583.462,203128.986,92723.416,63606.71,-29.271,0,206585.314,9887.739,133149.449,9936.655,14776.875,1982.74,2271.272,8000.933,0,3868.6045,2174.5255,MWh,848647.41
2011-01-15,75605.457,147188.932,75716.558,61480.274,-50.013,0,193344.5,9678.454,131592.873,9634.69,14858.926,2082.36,1425.842,7335.01,0,3903.6505,2185.4955,MWh,735983.0089999998
